ISBN,Title,Author,PublicationYear,Genre,Status
978-754-2824-13-4,Heart of Darkness,Bram Stoker,1835,Classic,Available
978-704-7912-14-0,Jane Eyre,Mary Shelley,1859,Psychology,Available
978-674-4257-93-8,The Three Musketeers,Bram Stoker,1914,Science,On Hold
978-928-1106-30-6,Of Mice and Men,Leo Tolstoy,1839,Romance,On Hold
978-204-2519-58-1,The Pearl,Stephen Hawking,1888,Science,On Hold
978-926-1711-68-8,The Odyssey,William Faulkner,1820,Psychology,On Hold
978-949-6925-83-3,A Brief History of Time,J.D. Salinger,1811,Biography,Checked Out
978-891-5741-20-3,Wuthering Heights,William Faulkner,1871,Philosophy,On Hold
978-266-7065-55-3,The Origin of Species,Leo Tolstoy,1979,Biography,Available
978-723-3803-78-3,Moby-Dick,Toni Morrison,1897,Fantasy,Checked Out
978-801-6313-17-3,The Catcher in the Rye,Karl Marx,1880,Historical Fiction,On Hold
978-167-4456-82-5,Lolita,Sun Tzu,1927,Historical Fiction,Lost
978-246-5339-27-3,Letters from a Stoic,Alexandre Dumas,1867,Science,Lost
978-697-7543-56-3,Frankenstein,Gustave Flaubert,1926,Classic,Available
978-981-2796-29-2,The Voyage of the Beagle,Albert Camus,1952,Classic,Lost
978-490-8668-77-4,Meditations,F. Scott Fitzgerald,1974,Classic,On Hold
978-887-6573-24-4,The Hunchback of Notre-Dame,Charles Dickens,1916,Fiction,On Hold
978-612-3927-74-1,The Interpretation of Dreams,Dante Alighieri,2015,Biography,Checked Out
978-256-7126-30-8,Beyond Good and Evil,F. Scott Fitzgerald,1953,Sci-Fi,Lost
978-119-2832-56-4,To the Lighthouse,Jane Austen,1861,Science,Available
978-187-8962-18-8,The Iliad,Charlotte Brontë,1968,Philosophy,Checked Out
978-371-9645-87-6,Lolita,Alexandre Dumas,1993,Romance,On Hold
978-508-7118-66-8,Labyrinths,Aldous Huxley,1863,Romance,Available
978-446-1344-85-8,The Sound and the Fury,Miguel de Cervantes,1856,Fiction,Available
978-824-1964-39-1,The Catcher in the Rye,John Steinbeck,1818,Psychology,Checked Out
978-385-8953-37-8,The Iliad,Epictetus,1946,Science,Lost
978-348-8749-62-3,Wuthering Heights,Ray Bradbury,1968,Historical Fiction,On Hold
978-533-7735-69-0,The Descent of Man,Sun Tzu,1965,Classic,Available
978-512-6559-23-3,The Brothers Karamazov,Homer,1937,Philosophy,Checked Out
978-532-4006-45-7,Heart of Darkness,J.D. Salinger,1913,Psychology,Available
978-151-9856-11-1,To the Lighthouse,Charles Dickens,1904,Philosophy,Lost
978-318-7570-17-2,Cannery Row,F. Scott Fitzgerald,1899,Fantasy,Lost
978-392-7930-99-8,Beyond the Pleasure Principle,Seneca,1924,Dystopian,Checked Out
978-403-4566-17-9,My Brief History,Alexandre Dumas,1815,Sci-Fi,Available
978-151-8811-74-8,Moby-Dick,Jane Austen,1930,Classic,Checked Out
978-170-2113-96-3,Les Misérables,Aldous Huxley,1945,Romance,Available
978-734-2343-63-9,Discourses,Victor Hugo,1880,Fantasy,Checked Out
978-785-6147-40-4,Madame Bovary,Charlotte Brontë,1971,Biography,On Hold
978-568-6180-19-0,The Aleph,Giovanni Boccaccio,1944,Classic,Available
978-650-4492-74-4,The Iliad,Vladimir Nabokov,1817,Romance,On Hold
978-391-3584-66-8,A Brief History of Time,Dante Alighieri,1956,Biography,Available
978-783-5905-94-1,Frankenstein,Herman Melville,1829,Classic,Checked Out
978-378-5616-87-3,The Universe in a Nutshell,John Steinbeck,1852,Biography,On Hold
978-617-9004-42-0,Jane Eyre,Niccolò Machiavelli,1908,Fantasy,Available
978-103-6464-26-4,Moby-Dick,Baruch Spinoza,1913,Psychology,Lost
978-674-1158-24-1,The Expression of the Emotions,Emily Brontë,1939,Fiction,On Hold
978-696-3426-65-2,The Hobbit,Dante Alighieri,1893,Fiction,On Hold
978-315-5088-95-1,The Pearl,Jean-Jacques Rousseau,1943,Historical Fiction,Checked Out
978-342-3662-32-6,Pride and Prejudice,Fyodor Dostoevsky,1988,Sci-Fi,Lost
978-921-5065-44-2,Autobiography of Charles Darwin,Ray Bradbury,1897,Fiction,Lost
978-327-4269-68-5,The Sun Also Rises,Sigmund Freud,2003,Romance,Checked Out
978-124-4164-61-5,The Trial,J.D. Salinger,1997,Fantasy,On Hold
978-756-9346-61-8,The Old Man and the Sea,Harper Lee,1829,Fantasy,Checked Out
978-694-5349-14-1,The Social Contract,Albert Camus,1888,Sci-Fi,Lost
978-720-9379-24-6,Enchiridion,Homer,1865,Fiction,Lost
978-101-9518-78-3,The Red Pony,Albert Camus,1817,Biography,On Hold
978-738-6143-94-1,The Grand Design,Dante Alighieri,1929,Fantasy,Lost
978-434-7592-99-4,Meditations,Charlotte Brontë,1849,Historical Fiction,Lost
978-793-3851-88-9,Invisible Man,Virginia Woolf,1940,Fiction,On Hold
978-393-4443-65-9,The Wealth of Nations,Sun Tzu,1882,Philosophy,Lost
978-552-4501-75-7,My Brief History,Charles Dickens,1968,Classic,On Hold
978-627-6491-21-3,The Descent of Man,Dante Alighieri,1857,Romance,Checked Out
978-125-1757-41-7,Capital,Stephen Hawking,1996,Classic,Lost
978-524-4185-99-6,The Divine Comedy,Virginia Woolf,1862,Dystopian,Available
978-868-2746-64-3,Ulysses,Karl Marx,1978,Psychology,Lost
978-151-5082-25-7,Frankenstein,Karl Marx,1918,Biography,On Hold
978-873-8251-88-8,Candide,Charles Darwin,1940,Philosophy,Checked Out
